Employee_ID,Gender,Company_Type,WFH_Setup_Available,Hours_Worked_Per_Week,Overtime_Hours,Tasks_Completed,Stress_Level,Satisfaction_Score,Performance_Score,Absenteeism_Days,Burn_Rate,Burnout_Risk,Productivity_Level
E100000,Male,Service,No,41.8,18,50,9.9,7.1,55.4,6,0.29,Low,Low
E100001,Female,Service,Yes,55.7,19,66,3.0,4.5,98.4,0,0.16,Low,Medium
E100002,Female,Service,Yes,53.3,6,47,7.8,4.4,60.7,4,0.44,Medium,Low
E100003,Female,Product,Yes,48.7,9,78,3.2,2.7,99.7,10,0.23,Low,Medium
E100004,Male,Service,Yes,43.3,2,85,4.6,1.8,70.9,7,0.38,Medium,Medium
E100005,Male,Product,No,51.0,18,83,8.9,9.0,53.6,1,0.09,Low,Medium
E100006,Male,Service,No,39.3,16,87,1.3,2.6,50.9,7,0.1,Low,Medium
E100007,Female,Product,Yes,50.4,7,44,3.8,1.6,79.9,4,0.32,Medium,Low
E100008,Female,Product,No,49.6,17,82,5.4,6.2,80.7,7,0.21,Low,Medium
E100009,Female,Product,Yes,44.2,6,36,6.6,5.9,76.2,1,0.27,Low,Low
E100010,Male,Product,Yes,50.7,6,73,1.3,6.1,53.3,7,0.05,Low,High
E100011,Female,Product,Yes,42.8,19,22,4.7,5.2,66.6,4,0.23,Low,Low
E100012,Female,Product,Yes,38.7,15,80,4.1,2.3,68.0,3,0.32,Medium,Medium
E100013,Male,Service,Yes,49.9,14,51,1.2,1.2,85.2,8,0.11,Low,Medium
E100014,Male,Service,Yes,44.6,13,70,4.2,1.4,70.9,11,0.36,Medium,Low
E100015,Male,Service,No,48.0,15,75,9.4,9.5,78.6,2,0.05,Low,Medium
E100016,Male,Service,No,54.1,8,79,3.5,5.8,64.3,2,0.15,Low,Medium
E100017,Male,Service,No,41.4,9,56,6.3,4.6,86.3,7,0.34,Medium,Low
E100018,Male,Service,Yes,44.3,14,63,3.7,4.7,52.3,10,0.2,Low,Medium
E100019,Male,Service,Yes,52.8,9,82,2.0,6.9,99.4,1,0.06,Low,High
E100020,Female,Service,Yes,48.3,1,23,3.6,4.4,82.1,2,0.2,Low,Low
E100021,Male,Service,Yes,41.5,4,22,5.2,8.2,57.4,11,0.09,Low,Low
E100022,Male,Product,Yes,40.2,7,72,3.7,3.3,85.9,7,0.25,Low,Medium
E100023,Male,Service,Yes,42.4,5,68,6.6,4.3,89.3,8,0.38,Medium,Medium
E100024,Male,Product,Yes,41.3,5,99,9.5,9.4,89.4,10,0.06,Low,Medium
E100025,Female,Service,Yes,46.2,0,62,1.6,3.3,63.5,0,0.11,Low,Medium
E100026,Male,Product,Yes,45.4,15,68,7.5,7.0,97.9,7,0.23,Low,Medium
E100027,Male,Product,Yes,46.4,17,42,1.0,4.3,50.9,9,0.06,Low,Medium
E100028,Female,Product,Yes,40.8,2,80,1.0,5.2,69.0,6,0.05,Low,High
E100029,Male,Product,Yes,44.6,6,95,2.2,1.4,55.2,1,0.19,Low,Medium
E100030,Female,Service,No,34.7,11,45,5.3,2.5,69.2,0,0.4,Medium,Low
E100031,Male,Product,Yes,45.7,9,27,1.4,1.9,52.9,6,0.11,Low,Low
E100032,Male,Product,No,50.9,9,73,7.5,8.6,82.2,7,0.11,Low,Medium
E100033,Female,Product,Yes,37.9,8,96,1.3,9.7,53.1,0,0.0,Low,High
E100034,Female,Product,Yes,47.4,10,45,5.5,1.6,80.8,3,0.46,Medium,Low
E100035,Female,Service,No,41.9,18,47,7.1,1.7,61.7,2,0.59,Medium,Low
E100036,Male,Product,Yes,49.0,7,67,3.1,6.0,59.0,4,0.12,Low,Medium
E100037,Male,Service,Yes,45.8,17,50,6.2,5.5,67.4,8,0.28,Low,Low
E100038,Female,Service,No,47.0,3,99,3.4,6.9,82.0,11,0.11,Low,High
E100039,Male,Service,Yes,45.3,1,83,2.9,7.6,78.9,0,0.07,Low,High
E100040,Male,Product,Yes,51.6,12,89,8.4,8.2,84.0,2,0.15,Low,Medium
E100041,Male,Service,No,46.7,13,48,4.0,2.3,95.9,1,0.31,Medium,Low
E100042,Male,Service,No,41.5,19,75,8.3,1.3,60.2,0,0.72,High,Low
E100043,Female,Service,Yes,45.5,14,74,3.0,9.0,70.7,11,0.03,Low,High
E100044,Male,Product,Yes,43.2,12,17,4.2,5.2,63.3,5,0.2,Low,Low
E100045,Female,Product,No,45.8,5,20,1.9,9.7,79.3,5,0.01,Low,Medium
E100046,Male,Service,Yes,42.9,19,34,5.5,5.8,64.2,8,0.23,Low,Low
E100047,Male,Service,Yes,41.6,5,18,4.4,5.6,77.9,10,0.19,Low,Low
E100048,Male,Product,Yes,46.0,0,67,1.1,6.6,91.2,11,0.04,Low,High
E100049,Male,Product,No,45.3,14,85,5.2,2.5,77.5,7,0.39,Medium,Medium
E100050,Female,Product,Yes,50.3,5,76,1.7,3.3,91.9,1,0.11,Low,Medium
E100051,Female,Service,No,42.9,14,95,8.5,9.2,80.6,10,0.07,Low,High
E100052,Female,Product,Yes,35.1,14,52,5.4,2.9,93.5,8,0.38,Medium,Low
E100053,Female,Service,Yes,43.2,13,50,7.2,3.1,96.5,5,0.5,Medium,Low
E100054,Female,Service,No,36.9,9,48,8.4,5.6,75.4,8,0.37,Medium,Low
E100055,Female,Service,No,47.1,7,20,1.5,6.8,89.5,6,0.05,Low,Medium
E100056,Male,Service,Yes,36.6,3,80,4.0,1.0,73.4,7,0.36,Medium,Medium
E100057,Male,Product,Yes,40.1,5,32,1.2,5.1,85.3,9,0.06,Low,Medium
E100058,Male,Service,No,43.2,19,41,1.4,4.6,51.9,6,0.08,Low,Medium
E100059,Male,Service,Yes,52.7,16,53,1.3,8.8,98.3,7,0.02,Low,High
E100060,Male,Service,Yes,39.6,6,65,5.3,8.6,94.7,8,0.07,Low,Medium
E100061,Male,Service,Yes,45.1,11,33,5.1,9.2,94.7,5,0.04,Low,Medium
